/vref_c (temperature=0) X,/vref_c (temperature=0) Y,/vref_c (temperature=27) X,/vref_c (temperature=27) Y,/vref_c (temperature=100) X,/vref_c (temperature=100) Y,/vref_p (temperature=0) X,/vref_p (temperature=0) Y,/vref_p (temperature=27) X,/vref_p (temperature=27) Y,/vref_p (temperature=100) X,/vref_p (temperature=100) Y
0,3.559257146411583e-09,0,1.884187342835865e-09,0,5.636080999413699e-10,0,2.522324523058826e-11,0,3.808962936064162e-11,0,7.917379712688501e-11
3.062316593127104e-13,-8.219188321900629e-06,3.062311520789007e-13,-7.473165038856925e-06,3.062375921300226e-13,-5.77654574590645e-06,3.062316593127104e-13,-3.785648108707484e-06,3.062311520789007e-13,-3.40789343190681e-06,3.062375921300226e-13,-2.588178850975317e-06
3.576648171575175e-13,-9.784264504424929e-06,3.596483216518048e-13,-8.964624710747707e-06,3.653359856598034e-13,-7.082525514268613e-06,3.576648171575175e-13,-4.478081510544112e-06,3.596483216518048e-13,-4.061724089991647e-06,3.653359856598034e-13,-3.151303071798908e-06
4.605311328471318e-13,-1.316744659793907e-05,4.664826607976132e-13,-1.222352014894618e-05,4.835327727193652e-13,-1.00086911922945e-05,4.605311328471318e-13,-5.853135263397182e-06,4.664826607976132e-13,-5.37452712005905e-06,4.835327727193652e-13,-4.310313840688873e-06
5.09427319408913e-13,-1.485576387701096e-05,5.164437175809184e-13,-1.38408782045426e-05,5.366216774323633e-13,-1.143664052069949e-05,5.09427319408913e-13,-6.469228185325499e-06,5.164437175809184e-13,-5.960813437388297e-06,5.366216774323633e-13,-4.821403901013224e-06
5.598626668388504e-13,-1.660835823663991e-05,5.677274449942383e-13,-1.552396538157357e-05,5.901607408764353e-13,-1.291835467244441e-05,5.598626668388504e-13,-7.05663729918316e-06,5.677274449942383e-13,-6.522923268795067e-06,5.901607408764353e-13,-5.313381996745893e-06
6.12639075402475e-13,-1.84210097364712e-05,6.214480068977752e-13,-1.728001872421017e-05,6.465180918643724e-13,-1.449617379213451e-05,6.12639075402475e-13,-7.615383051403996e-06,6.214480068977752e-13,-7.064053107285974e-06,6.465180918643724e-13,-5.80061831935097e-06
6.689632856888737e-13,-2.030738647668525e-05,6.783060386869905e-13,-1.9106754722876e-05,7.048830280629743e-13,-1.612805760453952e-05,6.689632856888737e-13,-8.161856583160839e-06,6.783060386869905e-13,-7.594141066663774e-06,7.048830280629743e-13,-6.27819949824846e-06
7.241933399316412e-13,-2.209589302214896e-05,7.343943158072877e-13,-2.086237531353802e-05,7.63537234226126e-13,-1.775065884262988e-05,7.241933399316412e-13,-8.669737957984552e-06,7.343943158072877e-13,-8.093040949533898e-06,7.63537234226126e-13,-6.743876734141899e-06
7.820113536308656e-13,-2.389675992545757e-05,7.936470323453946e-13,-2.265855584149549e-05,8.274371414028377e-13,-1.948708942956191e-05,7.820113536308656e-13,-9.198488397100635e-06,7.936470323453946e-13,-8.618402036725591e-06,8.274371414028377e-13,-7.254315508969971e-06
